ФИО,Пол,Роль в мероприятии,Список компетенций,Должность,Категория,Начало трудового стажа,Место работы,Профессия,Дата рождения,Начало трудовой деятельности в РОСАТОМ,Образование,Место образования,Год оканчания,Специальность,individual_result,Скор/стаж,Перспективность,Возраст,Количество сложных задач,Количество средних задач
ФИО_635,0,Участник мероприятия,Инженер-конструктор; ,Дежурный электромонтер,,2016-10-10,"Федеральное Государственное Унитарное Предприятие ""Приборостроительный завод имени К.А.Володина""",,1994-01-01,2018-07-21,,,,,55.71677137651969,0.07928947659018556,0,35.798355006823414,1.1772154400280055,1.9661393837471803
ФИО_512,1,Участник мероприятия,Неразрушающий контроль; ,Электромонтёр ОПС,,апр.19,Филиал АО ''Концерн Росэнергоатом'' ''Балаковская атомная станция'',,1992-07-30,2012-05-02,,,2009,Электроснабжение промышленных предприятий,38.506810473722474,,0,,,
ФИО_113,0,Участник мероприятия,Промышленная механика и монтаж; ,Ведущий инженер технолог,,2018-11-19,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,1988-09-17,2013,,,,,27.821640419944252,,0,,,
ФИО_209,0,Участник мероприятия,Информационная безопасность; ,инженер-эколог,,2011,"""АО """"Уральский электрохимический комбинат""""""",,08.09.1974,,,,,,69.62535806513907,,0,,,
ФИО_570,1,Участник мероприятия,Сетевое и системное администрирование; ,,,"11,2009","""ПАО """"Приаргунское производственное горно-химическое объединение""""""",,1997-10-06,2021-05-26,,,,,0.0,,0,,,
ФИО_117,0,Участник мероприятия,Инженерное мышление. Каракури; ,,,05.2017,ФГУП ПО Маяк,,,,,,,,28.531635517266476,,0,36.9063470827503,,
ФИО_333,0,Участник мероприятия,Аналитический контроль; ,Инженер-электрик,,,"""Федеральное государственное унитарное предприятие """"Горно-химический комбинат""""""",,1998-12-21,2011,,,,,9.499564703064216,0.15683966429070245,0,37.7911210781561,1.5578610159310666,1.8578049433139021
ФИО_172,0,Участник мероприятия,Охрана окружающей среды; ,Нет,,01032002,"""АО """"Уральский электрохимический комбинат""""""",,1992-10-03,2021-01-25,,ИрГУПС,,"Стрелково-пушечное, артиллерийское и ракетное оружие ",29.75326043640461,,0,,,
ФИО_159,0,Участник мероприятия,Радиационный контроль; ,Монтажник,,06.2022,АО Гринатом,,2004-06-16,,,,,,42.1679314050115,,0,,,
ФИО_294,0,Участник мероприятия,Промышленная механика и монтаж; ,Инженер участка релейной защиты и автоматики главной схемы,Инженер,2013-07-06,"АО ""Концерн Росэнергоатом"" ""Ростовская атомная станция""",,11.01.1992,2012-05-07,Высшее,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Уральский государственный лесотехнический университет""",2018,Химическая технология материалов современной энергетики,25.638987253999527,0.0868282477211477,0,37.5641349304926,,
ФИО_572,0,Участник мероприятия,Инженерное мышление. Каракури; ,инженер,,2001-07-01,"""ПАО """"Машиностроительный завод""""""",,,,Высшее,,,,25.166950671288184,0.22801236735109337,0,30.58737924915023,,
ФИО_491,1,Участник мероприятия,Аддитивные технологии; ,Инженер по организации эксплуатации и ремонту зданий и сооружен,,,АО «Концерн Росэнергоатом» Нововоронежская Атомная Станция,,1986-10-23,,,ННГАСУ,,,43.467057284133716,0.029292241015866284,0,30.750667682390457,,
ФИО_39,1,Участник мероприятия,Сметное дело; ,Специалист 1 категории,,,"""филиал АО """"Концерн Росэнергоатом"""" """"Опытно-демонстрационный инженерный центр по выводу из эксплуатации""""""",,1981-01-26,,,,,,40.60286844928228,0.09195987547760326,0,21.257451456849996,,
ФИО_105,0,Участник мероприятия,Промышленная механика и монтаж; ,Инженер ведущий,,,АО «Инжиниринговая компания «АЭМ-технологии»,,,,,,,Технология машиностроения,25.546365433802627,0.09325027061833928,0,31.453288885407545,,
ФИО_482,0,Участник мероприятия,Инженер-конструктор; ,инженер-электроник 1 категории,,06.2011,Отдел технического контроля,,1998-04-19,,,,,,17.208519112069805,,0,,,
ФИО_680,1,Участник мероприятия,Управление жизненным циклом; ,инженер программно-технического комплекса (дежурный),,2011-09-01,"""Акционерное общество """"Атомтрубопроводмонтаж""""""",,,2017-11-20,,,,,10.504214656390628,0.0,0,25.86922514186466,,
ФИО_228,0,Участник мероприятия,Работы на токарных универсальных станках; ,Руководитель проекта,Специалист (рабочие специальности),26.09.2011,"""ООО """"НПО""""Центротех""""""""""",Инженерное мышление,2003-09-30,07.2022,,,,,66.51533932770046,0.2546970843548652,0,26.344398700944794,1.5079863900950197,1.4523022233366014
ФИО_640,0,Участник мероприятия,Управление жизненным циклом; ,Ведущий специалист,,окт.07,"АО ""ЦПТИ""",,2004-03-28,2013-09-18,,,,,0.0,,0,,,
ФИО_276,0,Участник мероприятия,Инженер-конструктор; ,Студент,,,Государственное бюджетное профессиональное образовательное учреждение ''Озерский технический колледж'',,,,,,,,33.2199380901698,,0,,,
ФИО_237,0,Участник мероприятия,Электроника; ,главный специалист отдела ООС,Специалист (рабочие специальности),2022,"""ФГУП """"Приборостроительный завод""""""",Программист,,,,,,,18.692800952505237,0.022715541260526634,0,41.3851496909859,,
ФИО_166,1,Участник мероприятия,Промышленная автоматика; ,Оператор систем радиационного и дозиметрического контроля,Нет,2020-07-13,НВПК НИЯУ МИФИ,Информационная безопасность,1982-07-14,2018-04-13,,,,,44.673278375975926,,0,,,
ФИО_343,0,Участник мероприятия,Электромонтаж; ,инженер электроник 3 категории,,2010-03-18,Озёрский Технический Колледж,,2001-05-31,2013,,Московский государственный институт стали и сплавов (технологический университет),,,3.982796087239162,,0,,,
ФИО_368,0,Участник мероприятия,Водитель спецавтомобиля; ,Инженер по качеству,,2014-07-01,АКЦИОНЕРНОЕ ОБЩЕСТВО КОНЦЕРН ТИТАН-2,,1994-08-23,2015-10-26,Высшее,,2007,,18.331998992906424,,0,,,
ФИО_591,0,Участник мероприятия,Программные решения для бизнеса; ,Электрогазосварщик,Инженер,2002-03-01,АКЦИОНЕРНОЕ ОБЩЕСТВО КОНЦЕРН ТИТАН-2,,1989-05-25,19.06.2021,,,,,0.8951742797882183,,0,,,
ФИО_188,1,Участник мероприятия,Инженер-конструктор; ,Токарь,,02.09.2019,"""АО """"Ордена Трудового Красного Знамени и ордена труда ЧССР - опытное конструкторское бюро """"ГИДРОПРЕСС""""""",,1982-06-21,,Высшее,ИрГУПС,2015;2014,Эксплуатация железных дорог,38.44333291203753,0.039499968049141895,0,33.62063381638982,,
ФИО_641,0,Участник мероприятия,Водитель спецавтомобиля; ,Ведущий инженер по РЗА,,2011-01-20,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,1975-02-25,2011-01-20,Высшее,КИГиТ;ТЛ-24,,,42.31596272859516,,0,,,
ФИО_268,0,Участник мероприятия,Охрана окружающей среды; ,Инженер-конструктор 2 категории,,03.2018,"""НИЯУ МИФИ",,,,,,,,0.0,,0,,,
ФИО_458,0,Участник мероприятия,Сетевое и системное администрирование; ,главный специалист 70 группы,,2018-07-09,"АО ""Ангарский электролизный химический комбинат""",,13.07.1989,2012-01-11,,СПбГАСУ,,,0.0,0.11298457105237497,0,30.14489492583203,1.4929721458728304,1.3616078869582173
ФИО_218,0,Участник мероприятия,Инженер-конструктор; ,Младший специалист WS,,04.2019,"""ФГУП """"Производственное объединение """"Маяк""""""",,1974-12-27,,,,,,25.90316379476453,,0,,,
ФИО_486,0,Участник мероприятия,Управление жизненным циклом; ,главный специалист,Инженер,08.2008,Росатом,,1999-02-18,,,,,,0.0,,0,24.735896634072155,,
ФИО_193,0,Участник мероприятия,Аналитический контроль; ,Шлифовшик,Инженер,2010-12-12,АО  Ведущий Научно-Исследовательский Промышленный Институт промышленной технологии,Информационная безопасность,1992-08-17,2011-10-06,,,,,17.682362438437536,,0,,,
ФИО_406,1,Участник мероприятия,Управление жизненным циклом; ,главный эксперт,,2018-11-19,Акционерное общество Атомспецтранс Озерский филиал,Сварочные технологии,26.11.1996,2014-11-11,,,,,11.686379141289047,,0,,,
ФИО_619,0,Участник мероприятия,Радиационный контроль; ,Инженер-физик,Специалист (рабочие специальности),15.05.2018,Снежинский физико-технический институт,,1999-02-18,2019-05-22,,,2016,,77.59408297574635,,0,,,
ФИО_664,0,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,,Инженер,07.2002,"Акционерное общество ""Научно-исследовательский институт Научно-производственное объединение ""ЛУЧ""",,1983-12-14,2019-01-20,,,,,25.604268247988557,0.021082732638034625,0,25.2493932682259,,
ФИО_597,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Инженер-эколог 2 категории,,2009-07-29,АО Высокотехнологический институт неорганических материалов им. ак.А.А.Бочвара»,,1985-05-19,,"высшее, специалитет",Санкт-Петербургский государственный архитектурно-строительный университет,2006,Эксплуатация железных дорог,0.0,0.09761473906971382,0,27.89966042690043,,
ФИО_617,0,Участник мероприятия,Промышленная механика и монтаж; ,"Дефектоскопист рентгено-,гаммаграфирования",,2016-10-10,"""АО """"МСЗ"""" г.Электросталь """,,1988-10-09,,,,,,18.48201079654933,,0,,,
ФИО_569,0,Участник мероприятия,Охрана окружающей среды; ,Специалист 2 категории,,2015-10-15,"Акционерное общество ""Гринатом""",,,,,,,,43.42987606818725,,0,,,
ФИО_544,0,Участник мероприятия,Аналитический контроль; ,инженер программно-технического комплекса (дежурный),Инженер,,AKKUYU NÜKLEER ANONİM ŞİRKETİ,,,,,,,,27.52581531499865,0.08130741539488838,0,34.02779454149621,1.5445270347791105,1.460272462586775
ФИО_423,1,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Лаборант химического анализа 5 разряда,,-06-13,"""Филиал АО """"Русатом инфраструктурные решения в городе Глазове """,Инженерное проектирование,16.08.1983,2021-05-14,,,,,54.56181363456862,0.025737479517537895,0,47.53616120503496,,
ФИО_185,0,Участник мероприятия,Сварочные технологии; ,Инженер-конструктор,,,Снежинкий физико-технический институт НИЯУ МИФИ,,1988-05-17,,,,,,12.099993623500179,,0,,,
ФИО_122,0,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,Руководитель проекта,,2016-10-10,"""АО """"Сибирский химический комбинат""""""",,1977-10-03,02.10.2019,,,,,26.242457402452676,,0,,,
ФИО_277,0,Участник мероприятия,Охрана труда; ,Бетонщик 5 р,,09.2001,"""ФГУП """"Российский федеральный ядерный центр–Всероссийский научно- исследовательский институт экспериментальной физики"""" (ФГУП """"РФЯЦ-ВНИИЭФ"""")""",,,,,,,,13.916837027696243,0.03234879319121294,0,40.02679485931442,,
ФИО_472,0,Участник мероприятия,Управление качеством; ,Инженер по ремонту 2 категории участка ПРиИТП ЦТАИ,,,"""ФГУП """"Национальный оператор по обращению с радиоактивными отходами""""""",,1977-07-19,,,,,,0.0,0.0,0,33.37267906178049,,
ФИО_48,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,ведущий инженер,,2020-07-13,АО «Гринатом»,,1998-12-21,,,,,,5.878825676529106,0.0,0,37.48596529938177,1.3002785186224666,2.481799955226265
ФИО_409,0,Участник мероприятия,Инженерное проектирование; ,Инженер,,06.2018,"Публичное акционерное общество ""Новосибирский завод химконцентратов""",,15.12.1998,,,,,,29.333156462939556,0.017675181088362975,0,30.53824508864043,,
ФИО_604,0,Участник мероприятия,Промышленная механика и монтаж; ,Ведущий специалист отдела сетевых инфраструктур,Специалист (рабочие специальности),2014-07-23,АО Энергоспецмонтаж ,,1995-09-29,2020-06-16,,,,,8.423236040368778,,0,,,
ФИО_72,0,Участник мероприятия,Управление качеством; ,Инженер-конструктор 1 категории,Специалист (рабочие специальности),2020-07-13,АО «Атомэнергопроект»,,1992-02-16,,,,,,0.0,,0,,,
ФИО_587,0,Участник мероприятия,Охрана окружающей среды; ,фрезеровщик,,2006-02-10,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,2002-09-17,2022-07-25,,,,,19.342641645284576,,0,,,
ФИО_438,1,Участник мероприятия,Квантовые технологии; ,Ведущий инженер промышленной электроники,Нет,2016-10-10,"""Филиал АО """"АЭМ-технологии """"Петрозаводскмаш"""" в г. Петрозаводск """,Промышленная автоматика,1999-02-18,2021-05-14,,,,,43.388107638111094,,0,,,
ФИО_435,0,Участник мероприятия,Технологии композитов; ,инженер по охране окружающей среды Группа экологической инспекции,Инженер,2016-10-10,ФГУП РФЯЦ ВНИИЭФ,,1999-02-18,2021-05-14,,,,,59.94501065135697,0.2179170063865517,0,30.637931692129374,,
ФИО_663,0,Участник мероприятия,Управление качеством; ,Инженер по качеству,,07.2012,Ордена Трудового Красного Знамени ФГБОУ ВО «Московский технический университет связи и информатики»,,07.01.1984,2018-11-05,,,,,0.0,,0,38.75926947322055,,
ФИО_607,0,Участник мероприятия,Токарные работы на станках с ЧПУ; ,Электромонтер по ремонту и обслуживанию электрооборудования,,2006-08-01,"""АО Инжиниринговая компания """"АСЭ""""""",,1999-06-20,,,,,,46.857733193058806,,0,,,
ФИО_577,1,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,Инженер - конструктор,,2000-07-28,Акционерное общество «Атомспецтранс»,,1984-09-26,2018-02-02,Высшее,ИрГУПС,2015;2014,Землеустройство,26.24696906599285,,0,,,
ФИО_531,0,Участник мероприятия,Инженерное проектирование; ,начальник отдела,,,Снежинский физико-технический институт Национального исследовательского ядерного университета МИФИ,,,,,,,,0.0,0.05456802689526819,0,29.957716774394243,,
ФИО_565,0,Участник мероприятия,Сварочные технологии; ,,,01.2021,"""АО """"Хиагда""""""",,09.08.1995,2008-04-11,,"ФГАОУ ВО ""Санкт-Петербургский политехнический университет Петра Великого""",,Инженер-строитель,0.0,,0,,,
ФИО_388,1,Участник мероприятия,Строительный контроль; ,Специалист по охране труда 2 категории,,2019-01-14,"ФГУП""Комбинат Электрохимприбор""",,1979-12-01,,,,,,42.5225888963321,0.193645239282199,0,25.156785217231654,,
ФИО_636,0,Участник мероприятия,Управление жизненным циклом; ,Сварщик,,мар.12,"АО ФЦНИВТ СНПО ""ЭЛЕРОН""",,18.10.1991,2020-07-20,,,,,0.0,,0,,,
ФИО_588,0,Участник мероприятия,Инженерное проектирование; ,Электросварщик ручной сварки,Инженер,2008-07-15,Отдел капитального строительства группа,,1998-01-22,2008-04-11,,,,,22.577135410855973,,0,,,
ФИО_139,0,Участник мероприятия,Инженер-конструктор; ,Главный специалист,,02.2019,"""АО  """"Атомэнергопроект""""""",,1974-11-13,2015-10-26,Высшее,,,,43.03846088644657,0.16935145191991421,0,35.17141628614298,1.3559918314059718,
ФИО_177,1,Участник мероприятия,Промышленная автоматика; ,Оператор станков с ЧПУ,,2006-08-23,Акционерное общество «Ведущий проектно-изыскательский и научно-исследовательский институт промышленной технологии».,,24.09.1990,2005,,МИФИ,,Электроэнергетика и электротехника,31.511124660393428,0.014746028767868902,0,42.434767259629794,1.435083962284351,2.0793745409792592
ФИО_541,1,Участник мероприятия,Сварочные технологии; ,Инженер-технолог,,27.08.2019,"АО ""Чепецкий механический завод""",,29.07.1999,2017-01-12,,,2007,Проектирование технологических машин и комплексов,13.608662142513335,,0,,,
ФИО_223,0,Участник мероприятия,Инженер-конструктор; ,Дозиметрист,,,"Акционерное общество  Научно-исследовательский институт Научно-производственное объединение ""ЛУЧ""",,13.09.1999,,,,,,17.43709577399267,0.18549012780061575,0,22.271809286299153,,
ФИО_647,0,Участник мероприятия,Охрана труда; ,нет,,2012-11-01,Федеральное государственное унитарное предприятие «Производственное объединение «Маяк»,,26.03.1984,2019-10-24,,,,,7.981607686457542,,0,28.359952187331228,,
ФИО_666,0,Участник мероприятия,Машинное обучение и большие данные; ,Дозиметрист 6 разряда,Инженер,08.2020,"""ООО """"АЛЬСТОМ Атомэнергомаш""""""",нет в предлагаемом списке,31.10.1989,2007-09-29,,,,,45.09726774621609,,0,,,
ФИО_86,1,Участник мероприятия,Управление качеством; ,,,2017-01-12,Филиал АО ''АЭМ-технологии'' ''Атоммаш'' в г. Волгодонск,,1987-08-31,2020-03-18,,ИрГУПС,,Эксплуатация железных дорог,0.0,0.0,0,27.54608755736859,,
ФИО_671,0,Участник мероприятия,Охрана труда; ,Инженер-технолог 1 категории,,"10,2019",Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,1988-06-05,,,"ФГОУ ВПО ""Национальный исследовательский технологический университет МИСиС""",,Лазерные системы,8.413824925396083,,0,,,
ФИО_440,0,Участник мероприятия,Квантовые технологии; ,Мастер участка,,2016-10-10,Акционерное общество Атомспецтранс Озерский филиал,,1998-04-03,2022-04-11,,,,,31.266599914889987,0.15432507158612352,0,35.03472811030628,1.3998364969448345,2.165120669140896
ФИО_100,1,Участник мероприятия,Инженерное проектирование; ,Руководитель группы,,июл.12,"""АО """"Ангарский электролизный химический комбинат""""""",,,,,,,,0.0,,0,42.6330037318676,,
ФИО_394,0,Участник мероприятия,Управление качеством; ,Старший специалист,,2004-10-01,Филиал АО ''Концерн Росэнергоатом'' ''Кольская атомная станция'',,,2013,среднее профессиональное,,,,0.0,0.0,0,40.141547181881755,1.0,2.0373110349892993
ФИО_103,1,Участник мероприятия,Сварочные технологии; ,Инженер 1 категории,,03.2013,Ведущий научно-исследовательский проектно-изыскательский институт промышленной технологии,,,,,,,,58.57559916086942,0.2419574288990266,0,26.9771726500582,,
ФИО_233,0,Участник мероприятия,Инженерное мышление. Каракури; ,инженер-электроник 1 категории,,"10,2014",Отдел технического контроля,,,2020-10-05,Высшее,ИрГУПС,2024,инженер - строитель,73.29831962048982,,0,,,
ФИО_311,1,Участник мероприятия,Инженерное мышление. Каракури; ,Инженер- геодезист  отдела капитального строительства,,июл.08,Балаковская атомная электростанция,,,,,,,,0.0,0.09269502642729686,0,32.29426414007402,1.3517433655852897,1.7562619342267611
ФИО_674,1,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,Инженер,,,"""Общество с ограниченной ответственностью """"Турбинные технологии ААЭМ""""""",,07.01.1984,2001-01-25,,,,,20.047359393094084,0.0,0,24.14790165554605,,
ФИО_51,1,Участник мероприятия,Мехатроника; ,Инженер-технолог 2 категории,,05.2017,ФГУП «Приборостроительный завод имени К.А. Володина»,,1997-12-20,19.06.2021,,,,,0.0,,0,,,
ФИО_387,1,Участник мероприятия,Геодезия; ,инженер-программист,,1999-06-18,"""ФГУП ПО """"МАЯК""""",,,,,,,,57.669166684037464,,0,,,
ФИО_225,1,Участник мероприятия,Аналитический контроль; ,начальник отдела,,авг.07,Ленинградская атомная электростанция,,,,,,,,24.349056912630726,0.11513393497175614,0,31.248291235615884,1.2169791986835174,1.7031022700195395
ФИО_52,0,Участник мероприятия,Промышленная механика и монтаж; ,Электрогазосварщик,,02.09.2015,"""Филиал АО """"Концерн Росэнергоатом"""" """"Ростовская атомная станция""""""",Вывод из эксплуатации объектов использования атомной энергии,1994-05-25,Нет,,,,,25.023780707777263,,0,,,
ФИО_55,1,Участник мероприятия,Аналитический контроль; ,токарь,,2017-10-20,Чепецкий механический завод,,1988-09-17,2013,,,,,8.078356633439949,0.08453205026521862,0,30.132834312995566,,
ФИО_164,0,Участник мероприятия,Работы на токарных универсальных станках; ,Лаборант,,09.2006,"""Калининатомэнергоремонт"" - филиал АО ""Атомэнергоремонт""",,,,,,,,38.38461877067184,,0,,,
ФИО_215,0,Участник мероприятия,Мехатроника; ,Бетонщик 4р,,01.07.2000,Национальный исследовательский ядерный университет «МИФИ»,,,,,,,,28.161924316265896,,0,,,
ФИО_104,0,Участник мероприятия,Инженерное проектирование; ,Инженер-технолог I категории,,2005-12-25,ТИ НИЯУ МИФИ,,1988-10-09,2014-07-14,,,,,23.89416241999345,,0,,,
ФИО_397,0,Участник мероприятия,Информационная безопасность; ,Инженер - конструктор,Инженер,05.2020,"Филиал АО ""Концерн Росэнергоатом ""Курская атомная станция""",Охрана труда,1999-02-18,24.12.2012,,,,,48.69500772926928,,0,,,
ФИО_574,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Инженер-технолог 2 категории,,2009-08-25,"Химико-металлургический завод 20, Участок ремонта наружных электросетей и электрооборудования цехов",,27.12.1987,2022-07-26,,,,,0.0,0.017030997558007528,0,31.676068205501213,,
ФИО_308,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Специалист 1 категории,,2021-05-13,ООО НПО Центротех,,,,,,,,21.944454696358516,,0,,,
ФИО_156,0,Участник мероприятия,Информационная безопасность; ,Эксперт,,,"""АО """"Сибирский химический комбинат""""""",,,,,,,,0.0,,0,,,
ФИО_184,0,Участник мероприятия,Промышленная механика и монтаж; ,Инженер,,2022-05-04,"""ПАО """"Машиностроительный завод""""""",,,,,,,,0.0,0.04051802449138466,0,30.90139307613553,,
ФИО_508,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Инженер по качеству,Инженер,2015-02-03,"""ОАО """"Российский концерн по производству электрической и тепловой энергии на атомных станциях """"Росэнергоатом""""""",,11.03.1992,2013-07-02,,,,,47.4149071781878,0.11554922430899231,0,35.991464258938684,,
ФИО_483,0,Участник мероприятия,Сметное дело; ,фрезеровщик,,01.09.2014,Управления по техническому контролю при изготовлении оборудования для АЭС Российской Федерации,нет в предлагаемом списке,2003-06-09,2005,,,,маркшейдерское дело,31.517573676079188,,0,,,
ФИО_201,1,Участник мероприятия,Сетевое и системное администрирование; ,Специалист по охране труда 2 категории,,,Государственный университет аэрокосмического приборостроения,,,,Высшее,Саратовский государственный технический университет им. Гагарина Ю.А.,,,22.867502648630456,,0,,,
ФИО_342,0,Участник мероприятия,Мехатроника; ,главный специалист,Инженер,,Северский технологический институт,Радиационный контроль,1991-10-14,,,,,,0.0,,0,,,
ФИО_341,0,Участник мероприятия,Водитель спецавтомобиля; ,,,2011-09-01,«Опытное конструкторское бюро машиностроения имени И. И. Африкантова»,,08.06.1991,2016,,,,,9.150916280745607,0.17201893274412552,0,40.50957338679346,,
ФИО_380,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Инженер-программист,,,Акционерное общество Атомстройэкспорт,,21.04.1979,,,,,,0.0,,0,31.83620948536735,,
ФИО_280,0,Участник мероприятия,Технологии композитов; ,Инженер-конструктор,,2007-02-11,АО «Цифровые платформы и решения Умного Города»,,19.02.1994,,,ИАТЭ НИЯУ МИФИ,,,32.06076766149673,0.2554008494742815,0,25.595486847404874,,
ФИО_356,0,Участник мероприятия,Охрана труда; ,Электромонтер по ремонту и обслуживанию электрооборудования,,2019-02-14,ООО НПО Центротех,,30.06.1991,2004-10-01,,,,,0.0,,0,,,
ФИО_222,0,Участник мероприятия,Электромонтаж; ,Электромонтер по ремонту и обслуживанию электрооборудования,,2017,Отдел капитального строительства группа,,15.12.1997,2010-04-20,,,,,50.03722085438333,0.2109217815871658,0,31.633603593971376,,
ФИО_413,0,Участник мероприятия,Работы на токарных универсальных станках; ,Сварщик,,2005-01-17,АО «Атомэнергопроект»,,1980-11-03,2011,,,,,59.008746779795835,,0,,,
ФИО_79,0,Участник мероприятия,Электромонтаж; ,Водитель,,02.2000,"""ПАО """"Машиностроительный завод""""""",,22.06.1992,2017-05-22,,,2012,,16.261901337863183,,0,,,
ФИО_644,0,Участник мероприятия,Промышленная механика и монтаж; ,ведущий инженер-программист,,июн.07,Озёрский технический колледж,,2001-02-18,2019-04-01,Высшее,,,Товаровед,15.205185163357442,0.10201191389216531,0,38.16371214753981,,
ФИО_403,0,Участник мероприятия,Электроника; ,начальник отдела,,2000-05-05,ООО ЗапСибНефтехим,,1983-03-18,,,,,,18.37144591546443,0.0,0,38.09866291953664,,
ФИО_116,0,Участник мероприятия,Электромонтаж; ,специалист,,2020-01-09,"""ООО """"АЛЬСТОМ Атомэнергомаш""""""",,,-,,,,,58.4008591075646,,0,,,
ФИО_334,0,Участник мероприятия,Технологии композитов; ,Слесарь-ремонтник,,01.06.2021,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КОНСИСТ - ОПЕРАТОР СВЯЗИ"" ""БЕЛОЯРСКИЙ""",,1994-05-17,5.06.2017,,,2015,,12.961050360363286,,0,,,
ФИО_204,0,Участник мероприятия,Инженерное проектирование; ,Лаборант,,2016-10-10,"АО ""Концерн Титан-2""",,,1993-05-19,Среднее специальное ,,,,31.158265233068136,,0,,,
ФИО_634,0,Участник мероприятия,Инженер-конструктор; ,Нет,,04.2007,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,1991-02-23,,,,,,29.959152062322175,,0,,,
ФИО_130,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Монтажник,,1998-08-11,"""Акционерное общество """"Производственное объединение """"Электрохимический завод""""""",,01.01.1991,,,,,,3.514796712188467,,0,,,
ФИО_645,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Инженер-проектировщик,,1997-09-25,Акционерное общество «Центральный проектно-технологический институт»,,1977-05-15,2017-12-18,,,,,0.0,,0,,,
ФИО_687,1,Участник мероприятия,Работы на токарных универсальных станках; ,нет,Специалист (рабочие специальности),02.04.2001,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,1994-05-04,2012-05-02,,,,,26.17085421072954,,0,,,
ФИО_467,0,Участник мероприятия,Бетонные строительные работы; ,Ведущий специалист отдела сетевых инфраструктур,,2001-02-09,АО ''ИНСТИТУТ РЕАКТОРНЫХ МАТЕРИАЛОВ'',,,,,,,,10.442414155519572,0.11748382478128576,0,36.497759404457426,,
ФИО_511,0,Участник мероприятия,Охрана труда; ,Лаборант химического анализа,,2022,"АО ФЦНИВТ СНПО ""ЭЛЕРОН""",,05.09.1986,,,,,,12.003659103430028,,0,31.04139224659105,,
ФИО_560,0,Участник мероприятия,Сетевое и системное администрирование; ,Электромонтер,,18.11.2019,"""ПАО """"Нижнекамскнефтехим""""""",,,2008-08-12,,,,,0.0,0.09788214161270144,0,18.60868528643255,,
ФИО_315,0,Участник мероприятия,Работы на токарных универсальных станках; ,электрослесарь по ремонту автоматики и средств измерения,,0,"АО ""АтомЭнергоСбыт""",,1986-08-30,,,,,,24.552749471904235,,0,,,
ФИО_361,1,Участник мероприятия,Неразрушающий контроль; ,Лаборант,Инженер,2022-04-11,"ФГУП ""ПО ""Маяк""",,1999-11-04,2019-09-07,,,,,38.51392426148514,0.11609902340459585,0,34.07827494957405,1.526089151390559,2.150048340605316
ФИО_290,0,Участник мероприятия,Промышленная автоматика; ,Нет,,08.2012,Департамент информационных технологий ГХК,,,2013,,,,,34.58500708067836,,0,,,
ФИО_594,0,Участник мероприятия,Информационная безопасность; ,Ведущий инженер-программист,Инженер,2019-12-05,"""ФГУП """"Приборостроительный завод""""""",,02.08.1991,2012,,,,,0.6587496968551605,0.21553883798058132,0,33.61935960540483,1.0,2.210209287720146
ФИО_547,0,Участник мероприятия,Информационная безопасность; ,Лаборант химического анализа 6 разряда,,2005-08-02,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,1999-02-18,2017-01-12,Высшее,,2007,,1.61789409686315,,0,,,
ФИО_665,0,Участник мероприятия,Аналитический контроль; ,инженер-технолог,,июл.01,"""""""Балаковоатомэнергоремонт"""" - филиал АО """"Атомэнергоремонт""""""",,1993-07-29,2013-09-18,Высшее,,2010,Электроэнергетика и электротехника,9.810469465085488,,0,,,
ФИО_485,0,Участник мероприятия,Инженерное проектирование; ,Главный специалист,,дек.07,Новосибирский завод химконцентратов,,2002-08-08,,Высшее,,,,0.0,,0,,,
ФИО_344,0,Участник мероприятия,Неразрушающий контроль; ,Функциональный архитектор,Инженер,2016-10-10,"Публичное акционерное общество ""Новосибирский завод химконцентратов""",Сетевое и системное администрирование,1979-02-11,2020-01-01,Высшее,"ФГОУ ВПО ""Национальный исследовательский технологический университет МИСиС""",2015,,37.0961324420885,0.1495334224015316,0,31.771343432423805,,
